wavelet,size,NMI,Qc,Qy
bior1.1,3,1.0940635740690443,0.3705312787796063,0.7714525989577591
bior1.1,5,1.0995834136813871,0.41771339107571254,0.7968121675111239
bior1.1,7,1.1065774877196575,0.4328953099583433,0.8006491929815626
bior1.1,9,1.10712165203455,0.4605275886363148,0.8179470628825756
bior1.1,11,1.1064619311888888,0.47842808558395256,0.8208760606382917
bior1.1,13,1.1046686109121937,0.4714355673980988,0.824313203129148
bior1.1,15,1.109285828940892,0.4767840769266317,0.8309257937601805
bior1.1,17,1.1085695035729584,0.5109851320352661,0.8697225445627622
bior1.1,19,1.107816643171202,0.5066265512875852,0.8727743009212597
bior1.1,21,1.10977993382739,0.5280983752371627,0.8755950567193667
bior1.1,23,1.1090889157856088,nan,0.8767030640572233
bior1.1,25,1.1080694235976825,nan,0.8790396120172292
bior1.1,27,1.1072864426647706,nan,0.8828146713964568
bior1.1,29,1.1065260094302967,nan,0.8834576754732053
bior1.1,31,1.1058317536461744,nan,0.884823376789798
bior1.1,33,1.1056518058245035,nan,0.8956057681657503
bior1.1,35,1.1056984856215653,nan,0.8969830506291634
bior1.1,37,1.105893101690883,nan,0.8982811101141388
bior1.1,39,1.1064324792605016,nan,0.8996334651649561
bior1.3,3,1.0660285887652743,0.22669680806932416,0.6389851866784996
bior1.3,5,1.0809530861006347,0.272697883413269,0.6936151754010706
bior1.3,7,1.0902092522550166,0.28143813363532966,0.7182311190131685
bior1.3,9,1.0958322172104789,0.28341679268290737,0.7208592632997323
bior1.3,11,1.0981631392313598,0.29838697073010645,0.7379346006603574
bior1.3,13,1.0980270048102834,0.29856746392065364,0.7389560116985024
bior1.3,15,1.0970434912050873,0.29726846358228215,0.7376000639405544
bior1.3,17,1.099012465431848,0.3025369322203651,0.7415373759507226
bior1.3,19,1.0987509563522797,0.3464543969852702,0.761902619278671
bior1.3,21,1.0986163879219417,0.3466619504249485,0.7624474685626045
bior1.3,23,1.1021183467525524,0.3543737422057247,0.768658516623141
bior1.3,25,1.1016296582942642,0.35284470105921834,0.7685805293190341
bior1.3,27,1.1011209952774963,0.35099061657536584,0.7687716432420658
bior1.3,29,1.102309711952603,0.3644370877121747,0.7787930273908464
